SaleID,TimeKey,RegionKey,ProductKey,Quantity,UnitPrice,TotalAmount,Discount,Profit
1079,20240505,1,106,1,299.99,299.99,0.00,90.00
1080,20240505,3,107,3,399.99,1199.97,50.00,500.00
1081,20240601,2,108,6,19.99,119.94,0.00,36.00
1082,20240601,4,101,2,29.99,59.98,0.00,18.00
1083,20240602,1,102,4,49.99,199.96,15.00,75.00
1084,20240602,3,103,1,99.99,99.99,0.00,40.00
1085,20240603,2,104,3,199.99,599.97,20.00,280.00
1086,20240603,4,105,2,79.99,159.98,0.00,64.00
1087,20240604,1,106,2,299.99,599.98,25.00,275.00
1088,20240604,3,107,1,399.99,399.99,0.00,160.00
1089,20240605,2,108,7,19.99,139.93,0.00,42.00
1090,20240605,4,101,5,29.99,149.95,10.00,55.00
1091,20240701,1,102,2,49.99,99.98,0.00,30.00
1092,20240701,3,103,3,99.99,299.97,15.00,135.00
1093,20240702,2,104,1,199.99,199.99,0.00,100.00
1094,20240702,4,105,4,79.99,319.96,20.00,148.00
1095,20240703,1,106,1,299.99,299.99,0.00,90.00
1096,20240703,3,107,2,399.99,799.98,40.00,320.00
1097,20240704,2,108,8,19.99,159.92,0.00,48.00
1098,20240704,4,101,3,29.99,89.97,0.00,27.00
1099,20240705,1,102,1,49.99,49.99,0.00,15.00
1100,20240705,3,103,2,99.99,199.98,5.00,95.00
